"filename", "language", "GLSL", "C++", "CMake", "C", "Markdown", "PostCSS", "HTML", "SCSS", "XML", "Objective-C", "JavaScript", "comment", "blank", "total"
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/folderopen.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 1, 18
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/folderopend.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 1, 13
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/glfw3_8h.html", "HTML", 0, 0, 0, 0, 0, 0, 1824, 0, 0, 0, 0, 4, 83, 1911
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/glfw3_8h_source.html", "HTML", 0, 0, 0, 0, 0, 0, 1254, 0, 0, 0, 0, 4, 3, 1261
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/glfw3native_8h.html", "HTML", 0, 0, 0, 0, 0, 0, 164, 0, 0, 0, 0, 4, 3, 171
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/glfw3native_8h_source.html", "HTML", 0, 0, 0, 0, 0, 0, 300, 0, 0, 0, 0, 4, 3, 307
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__buttons.html", "HTML", 0, 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 4, 27, 283
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__context.html", "HTML", 0, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 4, 15, 305
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__errors.html", "HTML", 0, 0, 0, 0, 0, 0, 348, 0, 0, 0, 0, 4, 33, 385
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__gamepad__axes.html", "HTML", 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 4, 17, 203
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__gamepad__buttons.html", "HTML", 0, 0, 0, 0, 0, 0, 364, 0, 0, 0, 0, 4, 43, 411
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__hat__state.html", "HTML", 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 4, 21, 235
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__init.html", "HTML", 0, 0, 0, 0, 0, 0, 941, 0, 0, 0, 0, 4, 71, 1016
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__input.html", "HTML", 0, 0, 0, 0, 0, 0, 2169, 0, 0, 0, 0, 4, 113, 2286
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__joysticks.html", "HTML", 0, 0, 0, 0, 0, 0, 322, 0, 0, 0, 0, 4, 37, 363
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__keys.html", "HTML", 0, 0, 0, 0, 0, 0, 1786, 0, 0, 0, 0, 4, 245, 2035
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__mods.html", "HTML", 0, 0, 0, 0, 0, 0, 180, 0, 0, 0, 0, 4, 15, 199
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__monitor.html", "HTML", 0, 0, 0, 0, 0, 0, 805, 0, 0, 0, 0, 4, 41, 850
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__native.html", "HTML", 0, 0, 0, 0, 0, 0, 781, 0, 0, 0, 0, 4, 53, 838
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__shapes.html", "HTML", 0, 0, 0, 0, 0, 0, 305, 0, 0, 0, 0, 4, 29, 338
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__vulkan.html", "HTML", 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 4, 15, 362
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/group__window.html", "HTML", 0, 0, 0, 0, 0, 0, 3378, 0, 0, 0, 0, 4, 227, 3609
"/home/Tino/Documents/Coding Projects/Velocity-Engine/thirdParty/glfw-3.4/docs/html/index.html", "HTML", 0, 0, 0, 0, 0, 0, 94, 0, 0, 0, 0, 4, 3, 101
